"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Lifespan","Low Growing Grass","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Fertility Requirement","Fire Tolerance","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (F)","Bloom Period","Propogated by Bulbs","Berry/Nut/Seed Product","Palatable Human"
"ACME80","","Acacia mearnsii","NA (L48), HI","USA(CA, HI)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACME","","Acacia melanoxylon","NA (L48), HI","USA(CA, HI)","Dicot","Plantae","Perennial","Tree","Spring and Summer","","No","No","White","Yes","Dark Green","Moderate","Moderate","Fine","Brown","Yes","Multiple Stem","Rapid","40","40","Yes","Short","No","Erect","None","Yes","Yes","Yes","High","Low","Medium","Medium","16","40","Intolerant","14","Early Spring","No","No","No"
"ACMU","","Acacia muricata","PR, VI","USA+ (PR, VI)","Dicot","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACNI8","","Acacia nigrescens","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACNI2","","Acacia nilotica","PR, VI","USA+ (PR, VI)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACPA8","","Acacia paradoxa","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACPA8","ACAR15","Acacia armata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACPA81","","Acacia parramattensis","HI","USA(HI)","Dicot","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACPI","","Acacia pinetorum","NA (L48)","USA (FL)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACPO2","","Acacia podalyriifolia","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
