"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"ABCO","","Abies concolor","NA (L48)","USA(AZ, CO, ID, MA, ME, NM, NV, OR, UT, WY)","Gymnosperm","Plantae","Perennial","Tree","Spring and Summer","","None","High","No","No","No","Red","No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","20","120","No","Yes","Long","No","None","No","Conical","None","Yes","Yes","No","None","Low","Yes","Medium","Medium","Medium","80","Low","Medium","5.5","7.8","300","1200","18","80","40","None","Intermediate","-38","Late Spring","Routinely Available","Medium","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No","15920","Moderate","Medium","No","None","No","Yes","No","Low","Yes","No","Yes","Low","","No","No","Low","Yes","Yes"
"ABCO","ABCOC","Abies concolor var. concolor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABFR","","Abies fraseri","NA (L48)","USA(GA, NC, TN, VA)","Gymnosperm","Plantae","Perennial","Tree","Spring and Summer","","None","High","No","No","No","Purple","No","Dark Green","Moderate","Moderate","Medium","Brown","Yes","Single Stem","Moderate","20","55","No","Yes","Moderate","No","None","Yes","Erect","None","Yes","Yes","No","Low","Low","No","Low","Low","Low","90","Low","Medium","3.5","5.5","435","1200","45","100","6","Low","Tolerant","-23","Mid Spring","Routinely Available","Medium","Spring","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","60800","Slow","Medium","No","None","No","Yes","No","Low","No","No","Yes","Low","","No","No","Low","Yes","Yes"
"ABGR","","Abies grandis","NA (L48, CAN)","CAN(BC), USA(CA, ID, MT, OR, WA)","Gymnosperm","Plantae","Perennial","Tree","Spring and Summer","","None","High","No","No","Yes","","No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Moderate","25","150","No","Yes","Long","No","None","No","Conical","None","Yes","Yes","No","Low","Low","Yes","Medium","Medium","High","60","Low","Medium","4.5","7.5","300","1200","11","100","20","None","Tolerant","-33","Late Spring","Field Collections Only","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","23200","Slow","Low","No","None","No","Yes","No","Low","Yes","No","Yes","Low","","No","No","Low","Yes","Yes"
"ABGR","ABGRG","Abies grandis var. grandis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABLA","","Abies lasiocarpa","NA (L48, AK, CAN)","CAN(AB, BC, NT, YT), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)","Gymnosperm","Plantae","Perennial","Tree","Spring and Summer","","None","High","No","No","No","","No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","15","90","No","Yes","Long","No","None","No","Conical","None","Yes","Yes","No","None","Low","Yes","Low","Medium","Low","120","Low","Medium","4.0","6.5","300","1200","20","150","40","None","Tolerant","-51","Late Spring","Routinely Available","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","37440","Slow","Low","No","None","No","Yes","No","Low","Yes","No","Yes","Low","","No","No","Low","Yes","No"
"ABLAA","","Abies lasiocarpa var. arizonica","NA (L48)","USA(AZ, CO, NM)","Gymnosperm","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABLAL","","Abies lasiocarpa var. lasiocarpa","NA (L48, AK, CAN)","CAN(AB, BC, NT, YT), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)","Gymnosperm","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABLAL","ABBI3","Abies bifolia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABMA","","Abies magnifica","NA (L48)","USA(CA, NV, NY, OR)","Gymnosperm","Plantae","Perennial","Tree","Spring and Summer","","None","High","No","No","Yes","Brown","No","Dark Green","Moderate","Moderate","Medium","Brown","Yes","Single Stem","Slow","35","150","No","Yes","Long","No","None","No","Erect","None","Yes","Yes","No","None","Low","Yes","Low","Low","Low","90","Low","Medium","5.0","6.1","430","1200","33","64","20","Low","Tolerant","-23","Late Spring","Contracting Only","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","5680","Slow","Medium","No","None","No","Yes","No","Low","Yes","No","Yes","Low","Low","No","No","Low","Yes","Yes"
